Title,Released_year,Runtime,Imdb_rating,Reviews_on_no
1. The Shawshank Redemption,1994,1994,9.3, (3M)
2. The Godfather,1972,1972,9.2, (2.1M)
3. The Dark Knight,2008,2008,9, (3M)
4. The Godfather Part II,1974,1974,9, (1.4M)
5. 12 Angry Men,1957,1957,9, (926K)
6. The Lord of the Rings: The Return of the King,2003,2003,9, (2.1M)
7. Schindler's List,1993,1993,9, (1.5M)
8. Pulp Fiction,1994,1994,8.9, (2.3M)
9. The Lord of the Rings: The Fellowship of the Ring,2001,2001,8.9, (2.1M)
"10. The Good, the Bad and the Ugly",1966,1966,8.8, (854K)
11. Forrest Gump,1994,1994,8.8, (2.4M)
12. The Lord of the Rings: The Two Towers,2002,2002,8.8, (1.9M)
13. Fight Club,1999,1999,8.8, (2.5M)
14. Inception,2010,2010,8.8, (2.7M)
15. Star Wars: Episode V - The Empire Strikes Back,1980,1980,8.7, (1.4M)
16. The Matrix,1999,1999,8.7, (2.2M)
17. Goodfellas,1990,1990,8.7, (1.3M)
18. Interstellar,2014,2014,8.7, (2.3M)
19. One Flew Over the Cuckoo's Nest,1975,1975,8.7, (1.1M)
20. Se7en,1995,1995,8.6, (1.9M)
21. It's a Wonderful Life,1946,1946,8.6, (528K)
22. The Silence of the Lambs,1991,1991,8.6, (1.6M)
23. Seven Samurai,1954,1954,8.6, (384K)
24. Saving Private Ryan,1998,1998,8.6, (1.6M)
25. City of God,2002,2002,8.6, (838K)
26. The Green Mile,1999,1999,8.6, (1.5M)
27. Life Is Beautiful,1997,1997,8.6, (779K)
28. Terminator 2: Judgment Day,1991,1991,8.6, (1.2M)
29. Star Wars: Episode IV - A New Hope,1977,1977,8.6, (1.5M)
30. Back to the Future,1985,1985,8.5, (1.4M)
31. Spirited Away,2001,2001,8.6, (911K)
32. The Pianist,2002,2002,8.5, (969K)
33. Gladiator,2000,2000,8.5, (1.8M)
34. Parasite,2019,2019,8.5, (1.1M)
35. Psycho,1960,1960,8.5, (753K)
36. The Lion King,1994,1994,8.5, (1.2M)
37. Grave of the Fireflies,1988,1988,8.5, (350K)
38. The Departed,2006,2006,8.5, (1.5M)
39. Whiplash,2014,2014,8.5, (1.1M)
40. Harakiri,1962,1962,8.6, (80K)
41. The Prestige,2006,2006,8.5, (1.5M)
42. American History X,1998,1998,8.5, (1.2M)
43. Léon: The Professional,1994,1994,8.5, (1.3M)
44. Spider-Man: Across the Spider-Verse,2023,2023,8.5, (456K)
45. Casablanca,1942,1942,8.5, (632K)
46. The Usual Suspects,1995,1995,8.5, (1.2M)
47. The Intouchables,2011,2011,8.5, (979K)
48. Cinema Paradiso,1988,1988,8.5, (301K)
49. Alien,1979,1979,8.5, (1M)
50. Modern Times,1936,1936,8.5, (273K)
51. Rear Window,1954,1954,8.5, (546K)
52. Once Upon a Time in the West,1968,1968,8.5, (368K)
53. Django Unchained,2012,2012,8.5, (1.8M)
54. City Lights,1931,1931,8.5, (207K)
55. Apocalypse Now,1979,1979,8.4, (743K)
56. Dune: Part Two,2024,2024,8.5, (632K)
57. WALL·E,2008,2008,8.4, (1.3M)
58. Memento,2000,2000,8.4, (1.4M)
59. Raiders of the Lost Ark,1981,1981,8.4, (1.1M)
60. The Lives of Others,2006,2006,8.4, (428K)
61. Avengers: Infinity War,2018,2018,8.4, (1.3M)
62. Sunset Boulevard,1950,1950,8.4, (249K)
63. Spider-Man: Into the Spider-Verse,2018,2018,8.4, (732K)
64. Witness for the Prosecution,1957,1957,8.4, (150K)
65. Paths of Glory,1957,1957,8.4, (226K)
66. The Shining,1980,1980,8.4, (1.2M)
67. The Great Dictator,1940,1940,8.4, (249K)
68. 12th Fail,2023,2023,8.7, (148K)
69. Inglourious Basterds,2009,2009,8.4, (1.7M)
70. Aliens,1986,1986,8.4, (809K)
71. The Dark Knight Rises,2012,2012,8.4, (1.9M)
72. Coco,2017,2017,8.4, (651K)
73. Amadeus,1984,1984,8.4, (449K)
74. Toy Story,1995,1995,8.3, (1.1M)
75. Avengers: Endgame,2019,2019,8.4, (1.4M)
76. Good Will Hunting,1997,1997,8.3, (1.1M)
77. Oldboy,2003,2003,8.3, (680K)
78. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1964,8.3, (538K)
79. Das Boot,1981,1981,8.4, (279K)
80. Braveheart,1995,1995,8.3, (1.1M)
81. American Beauty,1999,1999,8.3, (1.2M)
82. Princess Mononoke,1997,1997,8.3, (461K)
83. High and Low,1963,1963,8.4, (60K)
84. Your Name.,2016,2016,8.4, (358K)
85. 3 Idiots,2009,2009,8.4, (459K)
86. Joker,2019,2019,8.3, (1.6M)
87. Once Upon a Time in America,1984,1984,8.3, (395K)
88. Capernaum,2018,2018,8.4, (116K)
89. Singin' in the Rain,1952,1952,8.3, (273K)
90. Come and See,1985,1985,8.3, (112K)
91. Requiem for a Dream,2000,2000,8.3, (939K)
92. The Chaos Class Failed the Class,1975,1975,8.7, (27K)
93. Star Wars: Episode VI - Return of the Jedi,1983,1983,8.3, (1.2M)
94. Toy Story 3,2010,2010,8.3, (932K)
95. The Hunt,2012,2012,8.3, (388K)
96. Ikiru,1952,1952,8.3, (97K)
97. Eternal Sunshine of the Spotless Mind,2004,2004,8.3, (1.1M)
98. 2001: A Space Odyssey,1968,1968,8.3, (754K)
99. Incendies,2010,2010,8.3, (228K)
100. Reservoir Dogs,1992,1992,8.3, (1.1M)
101. The Apartment,1960,1960,8.3, (209K)
102. Lawrence of Arabia,1962,1962,8.3, (329K)
103. Scarface,1983,1983,8.3, (966K)
104. Double Indemnity,1944,1944,8.3, (175K)
105. Heat,1995,1995,8.3, (759K)
106. North by Northwest,1959,1959,8.3, (361K)
107. Up,2009,2009,8.3, (1.2M)
108. Citizen Kane,1941,1941,8.3, (481K)
109. M,1931,1931,8.3, (177K)
110. Full Metal Jacket,1987,1987,8.2, (822K)
111. Vertigo,1958,1958,8.2, (445K)
112. Amélie,2001,2001,8.3, (819K)
113. A Separation,2011,2011,8.3, (269K)
114. To Kill a Mockingbird,1962,1962,8.3, (343K)
115. Like Stars on Earth,2007,2007,8.3, (218K)
116. A Clockwork Orange,1971,1971,8.2, (912K)
117. Die Hard,1988,1988,8.2, (991K)
118. The Sting,1973,1973,8.2, (291K)
119. Indiana Jones and the Last Crusade,1989,1989,8.2, (839K)
120. Oppenheimer,2023,2023,8.3, (893K)
121. Metropolis,1927,1927,8.3, (195K)
122. Snatch,2000,2000,8.2, (947K)
123. 1917,2019,2019,8.2, (729K)
124. L.A. Confidential,1997,1997,8.2, (642K)
125. Bicycle Thieves,1948,1948,8.2, (186K)
126. Downfall,2004,2004,8.2, (389K)
127. Dangal,2016,2016,8.3, (226K)
128. The Wolf of Wall Street,2013,2013,8.2, (1.7M)
129. Hamilton,2020,2020,8.3, (128K)
130. Taxi Driver,1976,1976,8.2, (980K)
131. Green Book,2018,2018,8.2, (637K)
132. Batman Begins,2005,2005,8.2, (1.6M)
133. For a Few Dollars More,1965,1965,8.2, (289K)
134. The Truman Show,1998,1998,8.2, (1.3M)
135. Judgment at Nuremberg,1961,1961,8.3, (92K)
136. Some Like It Hot,1959,1959,8.2, (295K)
137. Shutter Island,2010,2010,8.2, (1.6M)
138. The Kid,1921,1921,8.2, (141K)
139. The Father,2020,2020,8.2, (213K)
140. All About Eve,1950,1950,8.2, (145K)
141. Jurassic Park,1993,1993,8.2, (1.1M)
142. There Will Be Blood,2007,2007,8.2, (671K)
143. The Sixth Sense,1999,1999,8.2, (1.1M)
144. Casino,1995,1995,8.2, (593K)
145. Ran,1985,1985,8.2, (144K)
146. Top Gun: Maverick,2022,2022,8.2, (777K)
147. No Country for Old Men,2007,2007,8.2, (1.1M)
148. The Thing,1982,1982,8.2, (499K)
149. Pan's Labyrinth,2006,2006,8.2, (725K)
150. Unforgiven,1992,1992,8.2, (455K)
151. A Beautiful Mind,2001,2001,8.2, (1M)
152. Kill Bill: Vol. 1,2003,2003,8.2, (1.3M)
153. The Treasure of the Sierra Madre,1948,1948,8.2, (137K)
154. Prisoners,2013,2013,8.2, (872K)
155. Yojimbo,1961,1961,8.2, (138K)
156. Finding Nemo,2003,2003,8.2, (1.2M)
157. Howl's Moving Castle,2004,2004,8.2, (484K)
158. The Great Escape,1963,1963,8.2, (269K)
159. Monty Python and the Holy Grail,1975,1975,8.2, (588K)
160. The Elephant Man,1980,1980,8.2, (273K)
161. Dial M for Murder,1954,1954,8.2, (198K)
162. Klaus,2019,2019,8.2, (215K)
163. Gone with the Wind,1939,1939,8.2, (347K)
164. Rashomon,1950,1950,8.2, (190K)
165. Chinatown,1974,1974,8.1, (365K)
166. The Secret in Their Eyes,2009,2009,8.2, (233K)
"167. Lock, Stock and Two Smoking Barrels",1998,1998,8.1, (635K)
168. V for Vendetta,2005,2005,8.1, (1.2M)
169. Inside Out,2015,2015,8.1, (868K)
"170. Three Billboards Outside Ebbing, Missouri",2017,2017,8.1, (583K)
171. The Bridge on the River Kwai,1957,1957,8.1, (242K)
172. Trainspotting,1996,1996,8.1, (750K)
173. Catch Me If You Can,2002,2002,8.1, (1.2M)
174. Raging Bull,1980,1980,8.1, (396K)
175. The Wild Robot,2024,2024,8.2, (170K)
176. Fargo,1996,1996,8.1, (757K)
177. Warrior,2011,2011,8.1, (515K)
178. Harry Potter and the Deathly Hallows: Part 2,2011,2011,8.1, (998K)
179. Gran Torino,2008,2008,8.1, (840K)
180. Million Dollar Baby,2004,2004,8.1, (747K)
181. Ben-Hur,1959,1959,8.1, (264K)
182. Mad Max: Fury Road,2015,2015,8.1, (1.2M)
183. My Neighbor Totoro,1988,1988,8.1, (408K)
184. Barry Lyndon,1975,1975,8.1, (193K)
185. Spider-Man: No Way Home,2021,2021,8.2, (953K)
186. Dead Poets Society,1989,1989,8.1, (592K)
187. Children of Heaven,1997,1997,8.2, (86K)
188. 12 Years a Slave,2013,2013,8.1, (765K)
189. Before Sunrise,1995,1995,8.1, (359K)
190. The Grand Budapest Hotel,2014,2014,8.1, (927K)
191. Hacksaw Ridge,2016,2016,8.1, (638K)
192. Blade Runner,1982,1982,8.1, (855K)
193. Gone Girl,2014,2014,8.1, (1.1M)
194. Memories of Murder,2003,2003,8.1, (242K)
195. Ratatouille,2007,2007,8.1, (886K)
"196. Monsters, Inc.",2001,2001,8.1, (1M)
197. In the Name of the Father,1993,1993,8.1, (196K)
198. How to Train Your Dragon,2010,2010,8.1, (845K)
199. Wild Tales,2014,2014,8.1, (229K)
200. The Gold Rush,1925,1925,8.1, (124K)
201. Sherlock Jr.,1924,1924,8.2, (62K)
202. Jaws,1975,1975,8.1, (695K)
203. Mary and Max,2009,2009,8.1, (196K)
204. The Deer Hunter,1978,1978,8.1, (376K)
205. Ford v Ferrari,2019,2019,8.1, (524K)
206. The General,1926,1926,8.1, (103K)
207. The Wages of Fear,1953,1953,8.1, (71K)
208. Mr. Smith Goes to Washington,1939,1939,8.1, (126K)
209. On the Waterfront,1954,1954,8.1, (172K)
210. Wild Strawberries,1957,1957,8.1, (121K)
211. Logan,2017,2017,8.1, (891K)
212. Rocky,1976,1976,8.1, (660K)
213. The Third Man,1949,1949,8.1, (190K)
214. Tokyo Story,1953,1953,8.1, (74K)
215. Spotlight,2015,2015,8.1, (519K)
216. The Big Lebowski,1998,1998,8.1, (891K)
217. Maharaja,2024,2024,8.4, (69K)
218. The Terminator,1984,1984,8.1, (966K)
219. The Seventh Seal,1957,1957,8.1, (209K)
220. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2003,8.1, (1.3M)
221. Room,2015,2015,8.1, (468K)
222. La haine,1995,1995,8.1, (212K)
223. I'm Still Here,2024,2024,8.3, (109K)
224. Jai Bhim,2021,2021,8.6, (226K)
225. Hotel Rwanda,2004,2004,8.1, (384K)
226. Platoon,1986,1986,8.1, (456K)
227. The Best Years of Our Lives,1946,1946,8.1, (75K)
228. Before Sunset,2004,2004,8.1, (302K)
229. The Exorcist,1973,1973,8.1, (478K)
230. The Sound of Music,1965,1965,8.1, (277K)
231. The Passion of Joan of Arc,1928,1928,8.1, (65K)
232. The Wizard of Oz,1939,1939,8.1, (451K)
233. The Incredibles,2004,2004,8, (856K)
234. Hachi: A Dog's Tale,2009,2009,8.1, (329K)
235. Rush,2013,2013,8.1, (535K)
236. Stand by Me,1986,1986,8.1, (465K)
237. My Father and My Son,2005,2005,8.2, (97K)
238. Network,1976,1976,8.1, (179K)
239. The Iron Giant,1999,1999,8.1, (245K)
240. The Handmaiden,2016,2016,8.1, (189K)
241. A Silent Voice: The Movie,2016,2016,8.1, (121K)
242. To Be or Not to Be,1942,1942,8.1, (47K)
243. The Battle of Algiers,1966,1966,8.1, (71K)
244. The Grapes of Wrath,1940,1940,8.1, (105K)
245. Into the Wild,2007,2007,8, (680K)
246. Groundhog Day,1993,1993,8, (717K)
247. The Help,2011,2011,8.1, (513K)
248. Amores Perros,2000,2000,8, (268K)
249. Drishyam,2015,2015,8.2, (101K)
250. Andhadhun,2018,2018,8.2, (109K)
